,high_level_substr,sig_gene_seq
200,host glycan,"1.A.23,null,GH29|CBM32,GH2,GH20,null,null,null,1.B.14,GH18,null,null,HTH_AraC,null"
201,host glycan,"null,TPR_2|TPR_1|TPR_2,null,Peptidase_M23,HTH_AraC|HTH_AraC,null,GH43_26,null,null,null,null,null,null,null,1.B.14,null,null,null,null,null,null,null,1.B.14,null,null,null,null,null,null,ATPase_2,null,null,1.B.14,null,null,null,null,null,null,null,GH76,null,null,null,1.B.14,null,null"
202,host glycan,"GH154,GH2,GH20,null,GH88,PL33_1,null,1.B.14,HTH_AraC|HTH_AraC"
203,host glycan,"GerE,FecR,1.B.14,8.A.46,GH18,null,null"
204,pectin,"null,null,HTH_DeoR,HTH_AraC|HTH_AraC,8.A.59,PL1_6,GH105,SBP_bac_1,3.A.1"
205,pectin,"CE10,1.B.35"
206,pectin,"3.A.1,3.A.1,3.A.1,3.A.1,PL2_2"
207,pectin,"MarR,null,null,AraC_binding,null,null,PfkB,null,2.A.21,1.B.35,PL9_1,2.A.21,PL22|PL22"
208,pectin,"PL10_1,CE8,PL11"
209,pectin,"null,1.B.14,8.A.46,null,CE8,PL9_1,null,null,null,null,null,PfkB,null,2.A.56,2.A.56,2.A.56,null,null,null,LacI,GH28,null,GH105,GH43_10,GH28|PL9_1,CE12,CE10|CE8,CE12,PL10_1"
210,pectin,"CE12,1.B.14,null,GH28,null,null,GH105,GH105,GH43_10,null,LacI,2.A.56,2.A.56,2.A.56,null,null,null,null,PfkB,CE8,PL1_2"
211,pectin,"PfkB,null,null,null,null,2.A.56,2.A.56,2.A.56,LacI,null,CE8|PL1_5,null,PL1_2,null,null,null,null,GH105,GH105,null,null,GH28,null,null,1.B.14,null"
212,pectin,"GH95,null,GH140,CBM67|GH78|GH33,null,null,GH28,CBM67|GH78,GH43_18,null,PL1_2,null,null,null,1.B.14,null,GH92"
213,pectin,"GH51,GH146,null,null,null,NUDIX,2.A.21,null,GH43_4,null,null,1.B.14,GH43_4,GH51,GH43_29"
214,pectin,"GH105,CE8,null,CE12|CE8,AAA,HTH_AraC,null,null,1.B.14,PL1_2,PL1_2"
215,pectin,"GH106,GH28,null,GH28,CE12,GH2,null,GH43_18|GH43_34|CBM32,GH42,GH28,null,null,1.B.14,null,null,1.B.14,null,1.B.14,null,PL11,PL26,CE12|CE12,GH105,PL11_1,GH105,null,HTH_AraC|HTH_AraC"
216,pectin,"GH2,PL11,GH28,null,null,GH117|GH117,null,HTH_AraC,1.B.14,8.A.46,null,null,null,PL11,null,GH28,GH105,null,null,null,1.B.14,null,null,null,1.B.14,null,null,null,GH28,null"
217,pectin,"SBP_bac_1,3.A.1,3.A.1,GH105,HTH_AraC|HTH_AraC,CE12,null,9.B.28,PL11,PL11,CE12,GH42"
218,pectin,"GH105,CE8,CE12|CE8,HTH_AraC,null,null,1.B.14,PL1_2,PL1_2,9.B.116,LytTR,PL1_2,null,1.B.14,null,GH28,HTH_AraC|HTH_AraC"
219,pectin,"1.B.14,8.A.46,null,CE8,PL9_1,null,null,null,null,null,PfkB,null,2.A.56,2.A.56,2.A.56,null,null,null,LacI,GH28,null,GH105,GH43_10,GH28|PL9_1,CE12,CE10|CE8,CE12,PL10_1"
